 ID	ligand	receptor	description(ligand)	description(receptor)	primary location(ligand)	alternate location(ligand)	primary location(receptor)	alternate location(receptor)	PubmedID	KEGG																									
3421	CCL5	CCR5	small inducible cytokine A5 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	9289016///8663314///11116158///14637022///10477718	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2322	CCL7	CCR1	chemokine (C-C motif) ligand 7 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	8530354///7545673	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1932	CCL7	CCR10	chemokine (C-C motif) ligand 7 precursor	CC chemokine receptor 10	Extracellular	---	Plasma membrane	---	9364936	04062_Chemokine signaling pathway_	 activation binding/association																								
2321	CCL7	CCR3	chemokine (C-C motif) ligand 7 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	8642344	04062_Chemokine signaling pathway_	 activation binding/association																								
2319	CCL7	CCR5	chemokine (C-C motif) ligand 7 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	10477718	04062_Chemokine signaling pathway_	 activation binding/association																								
1294	CCL8	CCR1	small inducible cytokine A8 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	9115216	04062_Chemokine signaling pathway_	 activation binding/association																								
3546	CCL8	CCR3	small inducible cytokine A8 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	9005985	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1291	CCL8	CCR5	small inducible cytokine A8 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	9468473///10477718	04062_Chemokine signaling pathway_	 activation binding/association																								
1495	CD22	PTPRC	CD22 molecule	"protein tyrosine phosphatase, receptor type, C"	Plasma membrane	Cytoplasm	Plasma membrane	Mitochondrion	7537381	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association																						
1767	CD274	PDCD1	CD274 molecule	programmed cell death 1 precursor	Plasma membrane	Cytoplasm	Plasma membrane	---	12893276///12719480	04514_Cell adhesion molecules (CAMs)_	 activation																								
3331	CD86	CD28	CD28 antigen precursor	CD86 antigen isoform 2 precursor	Plasma membrane	---	Plasma membrane	Extracellular	11021528///7513726	05332_Graft-versus-host disease_	 activation	05416_Viral myocarditis_	 activation	05322_Systemic lupus erythematosus_	 activation	05320_Autoimmune thyroid disease_	 activation	05330_Allograft rejection_	 activation	04940_Type I diabetes mellitus_	 activation	04514_Cell adhesion molecules (CAMs)_	 activation	04672_Intestinal immune network for IgA production_	 activation binding/association	04672_Intestinal immune network for IgA production_	 activation binding/association								
839	CD48	CD244	CD48 molecule	CD244 natural killer cell receptor 2B4	Plasma membrane	---	Plasma membrane	---	11163399///9834056	04650_Natural killer cell mediated cytotoxicity_	 activation																								
541	CD58	CD2	CD58 molecule isoform 1	CD2 molecule	Plasma membrane	Cytoplasm	Plasma membrane	---	1377404///11575926	04514_Cell adhesion molecules (CAMs)_	 binding/association	04514_Cell adhesion molecules (CAMs)_	 binding/association																						
1079	CD70	CD27	"tumor necrosis factor ligand superfamily, member"	"tumor necrosis factor receptor superfamily,"	Plasma membrane	Extracellular	Plasma membrane	---	8120384///8186199///8580829///15723067///7479974///9862673///9767422	04060_Cytokine-cytokine receptor interaction_	 activation																								
